Id;Temperature;AirHumidity;Timestamp;SoilHumidity;Light
255;22,60000038;37;2025-05-07 08:53:40.6566667;567;67
256;22,60000038;37;2025-05-07 08:53:43.0500000;568;68
257;22,60000038;37;2025-05-07 08:53:46.1700000;574;74
258;22,60000038;37;2025-05-07 08:53:49.0666667;573;73
259;22,60000038;37;2025-05-07 08:53:52.0500000;574;74
260;22,60000038;37;2025-05-07 08:53:55.1000000;568;68
261;22,60000038;37;2025-05-07 08:53:58.0366667;568;68
262;22,60000038;37;2025-05-07 08:54:01.0933333;573;73
263;22,60000038;37;2025-05-07 08:54:14.3633333;567;67
264;22,60000038;37;2025-05-07 08:54:17.3166667;561;61
265;22,60000038;37;2025-05-07 08:54:20.3500000;566;66
266;22,60000038;38;2025-05-07 08:54:23.2866667;559;59
267;22,60000038;38;2025-05-07 08:54:26.3266667;566;66
268;22,60000038;38;2025-05-07 08:54:29.3633333;566;66
269;22,60000038;38;2025-05-07 08:54:32.3000000;566;66
270;22,60000038;37;2025-05-07 08:54:35.3500000;566;66
271;22,60000038;37;2025-05-07 08:54:38.3000000;566;66
272;22,60000038;37;2025-05-07 08:54:41.3266667;566;66
273;22,60000038;37;2025-05-07 08:54:44.3800000;566;66
274;22,60000038;37;2025-05-07 08:54:47.3166667;560;60
275;22,60000038;37;2025-05-07 08:54:50.3333333;566;66
276;22,60000038;37;2025-05-07 08:54:53.2866667;566;66
277;22,60000038;37;2025-05-07 08:54:56.3733333;566;66
278;22,60000038;37;2025-05-07 08:54:59.4266667;559;59
279;22,60000038;37;2025-05-07 08:55:02.3266667;566;66
280;22,60000038;37;2025-05-07 08:55:05.3466667;566;66
281;22,60000038;37;2025-05-07 08:55:08.3900000;559;59
282;22,60000038;37;2025-05-07 08:55:11.3333333;566;66
283;22,60000038;37;2025-05-07 08:55:14.3766667;565;65
284;22,60000038;37;2025-05-07 08:55:17.3033333;566;66
285;22,60000038;37;2025-05-07 08:55:20.3333333;566;66
286;22,60000038;37;2025-05-07 08:55:23.3800000;566;66
287;22,60000038;37;2025-05-07 08:55:26.3333333;566;66
288;22,60000038;37;2025-05-07 08:55:29.3633333;565;65
289;22,60000038;37;2025-05-07 08:55:32.3033333;560;60
290;22,60000038;37;2025-05-07 08:55:35.3500000;566;66
291;22,60000038;37;2025-05-07 08:55:38.3800000;566;66
292;22,60000038;37;2025-05-07 08:55:41.3333333;566;66
293;22,60000038;37;2025-05-07 08:55:44.3500000;566;66
294;22,60000038;37;2025-05-07 08:55:47.3000000;566;66
295;22,60000038;37;2025-05-07 08:55:50.3500000;565;65
296;22,60000038;37;2025-05-07 08:55:53.3800000;566;66
297;22,60000038;37;2025-05-07 08:55:56.3300000;566;66
298;22,60000038;37;2025-05-07 08:55:59.3500000;559;59
299;22,60000038;37;2025-05-07 08:56:02.4100000;565;65
300;22,70000076;37;2025-05-07 08:56:05.3333333;559;59
301;22,79999924;37;2025-05-07 08:56:08.3633333;559;59
302;23;38;2025-05-07 08:56:11.3200000;566;66
303;23;39;2025-05-07 08:56:14.3666667;566;66
304;23;41;2025-05-07 08:56:17.3966667;566;66
305;23;41;2025-05-07 08:56:20.3333333;566;66
306;23;41;2025-05-07 08:56:23.3800000;567;67
307;23;40;2025-05-07 08:56:26.3200000;566;66
308;23;40;2025-05-07 08:56:29.3500000;567;67
309;23;39;2025-05-07 08:56:32.4166667;566;66
310;23;39;2025-05-07 08:56:35.3500000;566;66
311;23;39;2025-05-07 08:56:38.3800000;599;99
312;23;39;2025-05-07 08:56:41.3033333;552;52
313;23;39;2025-05-07 08:56:44.3500000;559;59
314;23;38;2025-05-07 08:56:47.3966667;558;58
315;23;38;2025-05-07 08:56:50.3333333;833;33
316;23;38;2025-05-07 08:56:53.3966667;834;34
317;23;38;2025-05-07 08:56:56.4133333;558;58
318;23;38;2025-05-07 08:56:59.3500000;561;61
319;23;38;2025-05-07 08:57:02.4166667;560;60
320;23;38;2025-05-07 08:57:05.3333333;559;59
321;23;38;2025-05-07 08:57:08.3800000;553;53
322;23;38;2025-05-07 08:57:11.5200000;559;59
323;23;38;2025-05-07 08:57:14.3700000;560;60
324;23;37;2025-05-07 08:57:17.3966667;560;60
325;23;37;2025-05-07 08:57:20.3366667;560;60
326;23;37;2025-05-07 08:57:23.3966667;560;60
327;23;37;2025-05-07 08:57:26.4133333;560;60
328;23;37;2025-05-07 08:57:29.3500000;560;60
329;23;37;2025-05-07 08:57:32.4066667;560;60
330;23;37;2025-05-07 08:57:35.3500000;560;60
331;23;37;2025-05-07 08:57:38.3666667;808;8
332;23;37;2025-05-07 08:57:41.4133333;825;25
333;23;37;2025-05-07 08:57:44.3500000;821;21
334;23;37;2025-05-07 08:57:47.4033333;809;9
335;23;37;2025-05-07 08:57:50.4300000;793;93
336;23;37;2025-05-07 08:57:53.3833333;720;20
337;23;37;2025-05-07 08:57:56.4000000;706;6
338;23;37;2025-05-07 08:57:59.3500000;692;92
339;23;37;2025-05-07 08:58:02.4033333;687;87
340;22,79999924;37;2025-05-07 08:58:05.4433333;680;80
341;22,70000076;37;2025-05-07 08:58:08.3666667;677;77
342;22,60000038;37;2025-05-07 08:58:11.4133333;675;75
343;22,60000038;37;2025-05-07 08:58:14.3533333;673;73
344;22,60000038;37;2025-05-07 08:58:17.4000000;672;72
345;22,60000038;37;2025-05-07 08:58:20.4433333;671;71
346;22,60000038;37;2025-05-07 08:58:23.3800000;670;70
347;22,60000038;37;2025-05-07 08:58:26.3966667;670;70
348;22,60000038;37;2025-05-07 08:58:29.4600000;670;70
349;22,60000038;37;2025-05-07 08:58:32.4066667;669;69
350;22,60000038;37;2025-05-07 08:58:35.4300000;669;69
351;22,60000038;37;2025-05-07 08:58:38.3666667;668;68
352;22,60000038;37;2025-05-07 08:58:41.4300000;669;69
353;22,60000038;37;2025-05-07 08:58:44.4433333;668;68
354;22,60000038;37;2025-05-07 08:58:47.3966667;668;68
355;22,60000038;37;2025-05-07 08:58:50.4300000;669;69
356;22,60000038;37;2025-05-07 08:58:53.3833333;668;68
357;22,60000038;37;2025-05-07 08:58:56.3966667;668;68
358;22,60000038;37;2025-05-07 08:58:59.4433333;667;67
359;22,60000038;37;2025-05-07 08:59:02.4033333;668;68
360;22,60000038;37;2025-05-07 08:59:05.4433333;668;68
361;22,60000038;37;2025-05-07 08:59:08.3500000;662;62
362;22,60000038;37;2025-05-07 08:59:11.4000000;667;67
363;22,60000038;37;2025-05-07 08:59:14.4433333;668;68
364;22,60000038;37;2025-05-07 08:59:17.3833333;667;67
365;22,60000038;37;2025-05-07 08:59:20.4300000;667;67
366;22,60000038;37;2025-05-07 08:59:23.4600000;668;68
367;22,60000038;37;2025-05-07 08:59:26.3966667;667;67
368;22,60000038;37;2025-05-07 08:59:29.4433333;668;68
369;22,60000038;37;2025-05-07 08:59:32.3733333;663;63
370;22,60000038;37;2025-05-07 08:59:35.4433333;668;68
371;22,60000038;37;2025-05-07 08:59:38.4766667;668;68
372;22,60000038;37;2025-05-07 08:59:41.4133333;668;68
373;22,60000038;37;2025-05-07 08:59:44.4600000;667;67
374;22,60000038;37;2025-05-07 08:59:47.3900000;667;67
375;22,60000038;37;2025-05-07 08:59:50.4300000;668;68
376;22,60000038;37;2025-05-07 08:59:53.4900000;668;68
377;22,60000038;37;2025-05-07 08:59:56.3966667;667;67
378;22,60000038;37;2025-05-07 08:59:59.4433333;667;67
379;22,60000038;37;2025-05-07 09:00:02.3900000;668;68
380;22,60000038;37;2025-05-07 09:00:05.4300000;668;68
381;22,60000038;37;2025-05-07 09:00:08.4600000;667;67
382;22,60000038;37;2025-05-07 09:00:11.4300000;668;68
383;22,60000038;37;2025-05-07 09:00:14.4433333;667;67
384;22,60000038;37;2025-05-07 09:00:17.4966667;668;68
385;22,60000038;37;2025-05-07 09:00:20.4133333;668;68
386;22,60000038;37;2025-05-07 09:00:23.4433333;668;68
387;22,60000038;37;2025-05-07 09:00:26.4000000;662;62
388;22,60000038;37;2025-05-07 09:00:29.4466667;668;68
389;22,60000038;37;2025-05-07 09:00:32.4900000;668;68
390;22,60000038;37;2025-05-07 09:00:35.4133333;668;68
391;22,60000038;37;2025-05-07 09:00:38.4433333;668;68
392;22,60000038;37;2025-05-07 09:00:41.3833333;668;68
393;22,60000038;37;2025-05-07 09:00:44.4300000;668;68
394;22,60000038;37;2025-05-07 09:00:47.4866667;668;68
395;22,60000038;37;2025-05-07 09:00:50.4133333;667;67
396;22,60000038;37;2025-05-07 09:00:53.4600000;668;68
397;22,60000038;37;2025-05-07 09:00:56.5066667;664;64
398;22,60000038;37;2025-05-07 09:00:59.4766667;668;68
399;22,60000038;37;2025-05-07 09:01:02.4866667;668;68
400;22,60000038;37;2025-05-07 09:01:05.4300000;668;68
401;22,60000038;37;2025-05-07 09:01:08.4466667;663;63
402;22,60000038;37;2025-05-07 09:01:11.4933333;668;68
403;22,60000038;37;2025-05-07 09:01:14.4433333;668;68
404;22,60000038;37;2025-05-07 09:01:17.4766667;668;68
405;22,39999962;37;2025-05-07 09:01:20.4133333;668;68
406;22,29999924;37;2025-05-07 09:01:23.4766667;668;68
407;22,20000076;37;2025-05-07 09:01:26.4933333;668;68
408;22,20000076;37;2025-05-07 09:01:29.4266667;668;68
409;22,20000076;37;2025-05-07 09:01:32.5933333;668;68
410;22,20000076;37;2025-05-07 09:01:35.4133333;664;64
411;22,20000076;37;2025-05-07 09:01:38.4466667;668;68
412;22,20000076;37;2025-05-07 09:01:41.4933333;668;68
413;22,20000076;37;2025-05-07 09:01:44.4300000;668;68
414;22,20000076;37;2025-05-07 09:01:47.4700000;668;68
415;22,20000076;37;2025-05-07 09:01:50.5100000;667;67
416;22,20000076;37;2025-05-07 09:01:53.4466667;668;68
417;22,20000076;37;2025-05-07 09:01:56.4933333;668;68
418;22,20000076;37;2025-05-07 09:01:59.4300000;668;68
419;22,20000076;37;2025-05-07 09:02:02.4800000;668;68
420;22,20000076;37;2025-05-07 09:02:05.5100000;668;68
421;22,20000076;37;2025-05-07 09:02:08.4466667;668;68
422;22,20000076;37;2025-05-07 09:02:11.4933333;668;68
423;22,20000076;37;2025-05-07 09:02:14.4333333;667;67
424;22,20000076;37;2025-05-07 09:02:17.4766667;668;68
425;22,20000076;37;2025-05-07 09:02:20.4966667;668;68
426;22,20000076;37;2025-05-07 09:02:23.4466667;668;68
427;22,20000076;37;2025-05-07 09:02:26.4933333;668;68
428;22,20000076;37;2025-05-07 09:02:29.4600000;668;68
429;22,20000076;37;2025-05-07 09:02:32.4766667;668;68
430;22,20000076;37;2025-05-07 09:02:35.5100000;668;68
431;22,20000076;37;2025-05-07 09:02:38.4633333;668;68
432;22,20000076;37;2025-05-07 09:02:41.4766667;668;68
433;22,20000076;37;2025-05-07 09:02:44.5233333;668;68
434;22,20000076;37;2025-05-07 09:02:47.4600000;668;68
435;22,20000076;37;2025-05-07 09:02:50.5233333;668;68
436;22,20000076;37;2025-05-07 09:02:53.4533333;668;68
437;22,20000076;37;2025-05-07 09:02:56.4933333;668;68
438;22,20000076;37;2025-05-07 09:02:59.5233333;668;68
439;22,20000076;37;2025-05-07 09:03:02.4633333;668;68
440;22,20000076;37;2025-05-07 09:03:05.5100000;668;68
441;22,20000076;37;2025-05-07 09:03:08.4466667;663;63
442;22,20000076;37;2025-05-07 09:03:11.4766667;668;68
443;22,20000076;37;2025-05-07 09:03:14.6266667;668;68
444;22,20000076;37;2025-05-07 09:03:17.4766667;663;63
445;22,20000076;37;2025-05-07 09:03:20.5100000;668;68
446;22,20000076;37;2025-05-07 09:03:23.4433333;668;68
447;22,20000076;37;2025-05-07 09:03:26.4933333;668;68
448;22,20000076;37;2025-05-07 09:03:29.5233333;668;68
449;22,20000076;37;2025-05-07 09:03:32.4600000;668;68
450;22,20000076;37;2025-05-07 09:03:35.5100000;668;68
451;22,20000076;37;2025-05-07 09:03:38.5433333;668;68
452;22,20000076;37;2025-05-07 09:03:41.4766667;668;68
453;22,20000076;37;2025-05-07 09:03:44.5233333;668;68
454;22,20000076;37;2025-05-07 09:03:47.4633333;663;63
455;22,20000076;37;2025-05-07 09:03:50.4933333;667;67
456;22,20000076;37;2025-05-07 09:03:53.5400000;668;68
457;22,20000076;37;2025-05-07 09:03:56.4866667;668;68
458;22,20000076;37;2025-05-07 09:03:59.5233333;668;68
459;22,20000076;37;2025-05-07 09:04:02.4766667;663;63
460;22,20000076;37;2025-05-07 09:04:05.5100000;668;68
461;22,20000076;37;2025-05-07 09:04:08.5433333;667;67
462;22,20000076;37;2025-05-07 09:04:11.4766667;667;67
463;22,20000076;37;2025-05-07 09:04:14.5266667;663;63
464;22,20000076;37;2025-05-07 09:04:17.4666667;667;67
465;22,20000076;37;2025-05-07 09:04:20.4933333;667;67
466;22,20000076;37;2025-05-07 09:04:23.5466667;667;67
467;22,20000076;37;2025-05-07 09:04:26.4766667;668;68
468;22,20000076;37;2025-05-07 09:04:29.5100000;667;67
